date,region,price
1994-01-31,Gulf Coast,0.983
1994-01-31,Lower Atlantic,0.955
1994-01-31,Midwest,0.989
1994-01-31,New England,1.028
1994-01-31,Rocky Mountain,1.063
1994-01-31,U.S. Average,1.005
1994-01-31,West Coast,1.104
1994-02-07,Central Atlantic,1.035
1994-02-07,East Coast,0.989
1994-02-07,Gulf Coast,0.986
1994-02-07,Lower Atlantic,0.962
1994-02-07,Midwest,0.989
1994-02-07,New England,1.028
1994-02-07,Rocky Mountain,1.056
1994-02-07,U.S. Average,1.007
1994-02-07,West Coast,1.105
1994-02-14,Central Atlantic,1.038
1994-02-14,East Coast,0.996
1994-02-14,Gulf Coast,0.992
1994-02-14,Lower Atlantic,0.972
1994-02-14,Midwest,1.001
1994-02-14,New England,1.033
1994-02-14,Rocky Mountain,1.097
1994-02-14,U.S. Average,1.016
1994-02-14,West Coast,1.106
1994-02-21,Central Atlantic,1.04
1994-02-21,East Coast,0.997
1994-02-21,Gulf Coast,0.985
1994-02-21,Lower Atlantic,0.972
1994-02-21,Midwest,0.984
1994-02-21,New England,1.035
1994-02-21,Rocky Mountain,1.073
1994-02-21,U.S. Average,1.009
1994-02-21,West Coast,1.11
1994-02-28,Central Atlantic,1.038
1994-02-28,East Coast,0.996
1994-02-28,Gulf Coast,0.981
1994-02-28,Lower Atlantic,0.97
1994-02-28,Midwest,0.975
